brand,category
ABARTH,Continental
AC,Continental
ALPINE,Continental
AUDI,Continental
AUSTIN,Continental
AUSTIN MORRIS,Continental
BMW,Continental
BMW ALPINA,Continental
BRABUS,Continental
CADILLAC,Continental
CAM,Continental
CHEVROLET,Continental
CHRYSLER,Continental
CITROEN,Continental
DAIMLER,Continental
DODGE,Continental
DS,Continental
DS AUTOMOBILES,Continental
EXCALIBUR,Continental
FIAT,Continental
FORD,Continental
GMC,Continental
HUMMER,Continental
IVECO,Continental
JAGUAR,Continental
JEEP,Continental
LAND ROVER,Continental
LMG,Continental
LOTUS,Continental
MASERATI,Continental
MERCEDES BENZ,Continental
MERCEDES MAYBACH,Continental
MG,Continental
MINI,Continental
MORGAN,Continental
MORRIS,Continental
OPEL,Continental
PEUGEOT,Continental
POLESTAR,Continental
RENAULT,Continental
ROVER,Continental
SAAB,Continental
SKODA,Continental
SMART,Continental
SUTTON,Continental
TESLA,Continental
VOLKSWAGEN,Continental
VOLVO,Continental
BISON,Japan
DAIHATSU,Japan
DATSUN,Japan
FUSO,Japan
HINO,Japan
HONDA,Japan
INFINITI,Japan
ISUZU,Japan
LEXUS,Japan
MAZDA,Japan
MITSUBISHI,Japan
MITSUOKA,Japan
NISSAN,Japan
PORSCHE,Japan
SUBARU,Japan
SUZUKI,Japan
TOYOTA,Japan
UD TRUCKS,Japan
ASIA MOTORS,Continental
BAIC,Continental
BAW,Continental
BUFORI,Continental
BYD,Continental
CHANA,Continental
CHANGAN,Continental
CHERY,Continental
DENZA,Continental
DONGFENG,Continental
FAW,Continental
FOTON,Continental
GAC,Continental
GAC AION,Continental
GOLDEN DRAGON,Continental
GREAT WALL,Continental
GREAT WALL MOTOR,Continental
GWM,Continental
HAVAL,Continental
HOLDEN,Continental
HYUNDAI,Continental
JAC,Continental
JAECOO,Continental
JETOUR,Continental
JMC,Continental
JOY LONG,Continental
KAICENE,Continental
KIA,Continental
KING LONG,Continental
LEAPMOTOR,Continental
MAHINDRA,Continental
MAXUS,Continental
MGC,Continental
NETA,Continental
SHENYANG BRILLIANCE,Continental
SSANGYONG,Continental
TATA,Continental
WESTSTAR MAXUS,Continental
XPENG,Continental
YANGTSE,Continental
ZEEKR,Continental
ZXAUTO,Continental
BOON KOON,Local/Malay
FARID,Local/Malay
HICOM,Local/Malay
INOKOM,Local/Malay
NAZA,Local/Malay
PERODUA,Local/Malay
PROTON,Local/Malay
WESTSTAR,Local/Malay
ALFA ROMEO,Super Car
ASTON MARTIN,Super Car
BENTLEY,Super Car
FERRARI,Super Car
KTM,Super Car
LAMBORGHINI,Super Car
MCLAREN,Super Car
ROLLS ROYCE,Super Car